text,label
They chose to come here and they weren't asked to leave.,decision
The city has adopted the School Board's Everyone Belongs Here campaign and we should uphold that tonight and move forward with protecting all of our citizens against fear and hatred.,decision
"And so this evening, we encourage the council to receive and file the plan and to concurrently define a road map for implementing that plan down the road.",discussion
"Our overwhelming concern, which we voted 92 five in our neighborhood, about the serious consequences of permitting a high traffic development on this site.",decision
This legislation extends the policies for home based businesses we adopted last year in the Bringing Business Home legislation.,decision
"And indeed, we have less open wetlands now than we would have had had we adopted a plan to preserve them.",decision
"We're working on a meeting actually with Geo, our neighbor here.",discussion
The Committee approved filing this item at its meeting on 6-25-19.,decision
In actual dollars as far as a reputation.,discussion
The Committee approved filing this item at its meeting on 1-29-19.,decision
"And we are seeing A-plus water quality in the lagoon, but it's time to take the next step.",action_item
"And there is no reason why Denver, Colorado, couldn't have a tiny home community that is permanent, like other communities across the country have done so.",discussion
"In essence, the harmonization legislation brings Seattle standards in these particular areas up to the standards that the voters of Washington State approved this year last year.",decision
"This application went to Planning Board on July 18th, 2018, and they voted unanimously to recommend approval.",decision
So we approved that and I recommend your support.,decision
"In April, the Planning Board voted unanimously to recommend approval.",decision
You as a City Council adopted a groundbreaking mobility element that was very progressive for its time and proceeded Los Angeles in their mobility efforts.,decision
"Well, what our men and women of public safety did was they agreed to contribute 15%, 3% above the amount that we were legally mandated to to ask of them.",decision
For the follow up as.,action_item
And and all the reports were about how constructive and how helpful you were to that process.,discussion
So let me just talk about the base legislation.,discussion
Please read the first agenda item.,action_item
The Committee approved filing this item at its meeting on 8-24-21.,decision
"There have been for within just the last two weeks on lead steel right in front of Cube Smart, as well as a hit and run behind Cube Smart two weeks ago.",discussion
"Well, I should say I'm sure we have public comment and we should ask our clarifying questions and then we'll hear public comment and we'll come back for a discussion.",action_item
"In February of 2015, Council Council passed Resolution 31570, adopting six privacy principles, guiding the actions the city will take when collecting and using information from the public.",decision
Are we returning a reconvening?,question
"Why can't you use those to, you know, as housing or affordable housing or emergency housing?",question
This is not unique to alameda.,discussion
"I really enjoyed it there, and it really helped me build my skills.",discussion
"But now I'm hearing, well, we have so much work for our firefighters and my preference is to have firefighters focused on fighting fires and not necessarily doing inspections.",discussion
So they chose not to move yet because their data hadn't hit the 40 benchmark and ours was very close to it.,decision
They have an 18 point agreement.,discussion
Is it assessed on private development or is it on public projects?,question
"And are the units stacked or are they, in fact, row homes where if it's 35 feet, that that's one unit in the 35 feet?",question
The Council voted and by a roll call vote by five eyes to approve proceeding with that.,decision
The Transition Center needs to create a strategic plan.,action_item
I have a couple of questions.,discussion
Would you like to address your motion?,question
"Please refrain from profane, obscene speech.",action_item
The Committee approved filing this item at its meeting on 4-13-21.,decision
"After all, if we don't do it, who will?",question
"Who would like to go first on the amendment, if anybody?",question
"We have just come out of closed session, and I will ask our city clerk, Laura Weisinger, to please report out.",action_item
What's the turnaround time to get a check out?,question
"Please help us to remember you as the City Council who cares about everyone's choices, safety and quality of life.",action_item
"And I think collectively, we all need to be looking to the federal government to provide and step up and provide the support it needs to provide.",action_item
"Councilmember Black, will you please put Council Resolution 305 on the floor for adoption?",question
"As you know, we have recently adopted the down the Midtown specific plan.",decision
"So item number one, are there any comments on agenda item one?",question
You're that based on this this budget has us use our reserves as our projects.,discussion
Please give us your name and go ahead and begin.,action_item
"Well, so with that, I will then close public comment and we will bring the comment back to the council.",action_item
The Committee approved filing this item at its meeting on 11-27-18.,decision
"So I say to you here, I believe that there are a lot of fine, but we moved to the city because it's culturally diverse.",discussion
Out the chair as well.,discussion
Please read item number one.,action_item
"Well, the applicant can probably answer that question better, but my understanding is that through the mediation, they've agreed to no more than four units.",decision
I just wanted to let you to know that we had decided to offer the sales position to someone else.,decision
"If you have a question that I cannot answer, I will ask central staff to answer it for you.",action_item
"But can you tell the council my question was, do the security guards carry guns or they are?",question
And the big question that's asked at this phase is whether or not there is a city council adopted plan that addresses the site.,decision
What are those issues with concerns that you have?,question
I want to follow up on member de SACS question.,action_item
I also wanted to mention real quick that getting the entertainment permit wouldn't change anything because we've had the paradise is carried over to us.,discussion
"So if I add those numbers up, Amy, is 40 million plus 22 million that close?",question
We had ten developers who submitted on this project and we chose the United Development Team due to their their concept of providing senior housing for the community.,decision
What would you say are your strengths and weaknesses?,question
"Council Bill 119808, if adopted today, will repeal Seattle's Prostitution Loitering Law, which is currently Section 12.1 0.010 of our Seattle Municipal Code.",discussion
"Because my question is, if we had 340 mobile home residents that had their land increased by 35%, is there somewhere for them to go in the city?",question
Management decided to give her four brand new white dress.,decision
"Please, if we can just go on to hearing number two.",action_item
Please cause voting announce results 1313 I as proclamation 1442 has been adopted.,action_item
I just had a follow up question from one of the speakers.,action_item
Do any other council members how many comments on this?,question
Do we have a staff reporter presentation on this item?,question
"In addition, the applicants have agreed to provide space for local minority owned businesses at reduced rents to sponsor artist in residence.",decision
The Committee approved filing this resolution by consent on 8-11-16.,decision
"So I understand, Councilman, you know what?",question
Did you guys hear me earlier?,question
"If they don't have if they do have a lawyer, I want thank you very much.",discussion
But I think that's the sort of thing the developer and planning staff and eventually the planning board can work on.,discussion
"Could I have my bill, please?",question
Please don't miss hear me on that.,action_item
"Are there any questions, folks?",question
Please called and please read the next gen item.,action_item
"Now, does anyone else want to speak on this matter?",question
Can we lower the density on that site?,question
"And the mother was like, Yeah, are you part of a union?",question
Please extend the PARKLET program.,action_item
By our vote we have voted to a point.,decision
And then there would be a trustee assigned to to the bankruptcy.,action_item
But I will ask all of you to please indulge me and suspend the rules and pass this today.,action_item
"You know, I decided to hang on to this item because if we can't help our employees during a time of need, we should.",decision
"And again, I apologize if you've answered it, but as you've explained it to me, this is purely a cost recovery fee, correct?",question
They were put in place for a reason and are needed to protect our children.,discussion
We need to improve access to opportunity.,discussion
Who stands out in your mind as a man or woman of sound character?,question
Please report from Development Services recommendation to receive a report and confirm the proposed Climate Action and Adaptation Plan and direct staff to prepare the subsequent IIR citywide.,action_item
As a follow up to legislation.,action_item
"Please stand with the hard, hardworking hotel workers who build your tourism economy by rejecting these changes today and adopt a primary residence requirement to stop the.",action_item
"Council Member Can each go ahead with your comments, please?",question
Is there any public comment on the second part of the hearing?,question
Other agencies in Arizona have decided to just not transport when CPR is in process.,decision
Maybe you should check your email.,action_item
"So, yes, our site plan would need to provide for on site.",action_item
"Also, we've requested numerous times that all the slides are numbered so people can follow along and, and follow up.",action_item
I want to thank the Council of Mayors for also agreeing in the cities that that have agreed to participate in this as well.,decision
And we approve those traffic control plans ahead of time for issuance of the permit.,discussion
"I have a degree in environmental management from Cal Poly in San Luis Obispo, California.",discussion
Were you owned properties in the Stones Lake area?,question
He spoke about identity and how that was important to us.,discussion
The previous mayor in office when they decided to come forward with what was called the Community Downtown.,decision
Can you give me a speech?,question
The Committee approved filing this bill at its meeting on 5-16-17.,decision
I am really excited to present our newest nominees to the Commission on Persons with Disabilities.,discussion
DHS applied to rezone this property to facilitate a redevelopment to replace the current units with 53 affordable units.,discussion
The Committee approved filing this bill by consent on 12-26-13.,decision
How many iterative steps it takes to get to that finish line?,question
What are you working on?,question
I'm proud to support this and I look forward to the follow up.,action_item
What are some options I may have?,question
"And quite honestly, without the help of Durham, we wouldn't be able to get this into the endzone.",discussion
People don't think about that that often.,discussion
The city needs to have a coordinator and we will provide the rest of the resources to help support actual programing and other work.,action_item
But I must share that these items were dealt with quickly and professionally and with good follow up communication.,action_item
Please read items 15 and 16.,action_item
The Committee approved filing this bill by consent on 1-10-17.,decision
Then what is the mechanism for you to control that if plenary is in fact the manager of the building?,question
"Please streamline the police paperwork, give us more police officers and patrols, and let the vagrants and criminals know we're not going to continue to lie down.",action_item
"On September 20, 2016, City Council approved a resolution granting approval of the annual report and set today's date for the public hearing.",decision
"Like many working families, the pandemic took a toll on my whole family.",discussion
The Committee approved filing this item at its meeting on 1-18-22.,decision
"And I don't know if this council has the authority to overrule that court decision, even if we chose even if we chose to.",decision
I supported the original version of the changes to our zoning code and it is my preference that City Council passed that version.,decision
"So after you've been exposed, there's this a big time limit, so you have to get to people quickly.",discussion
And how many are landmarked versus not landmarked?,question
"Adam, how is your knee today?",question
"But I wouldn't be surprised if you pass this tonight, seeing as you passed the marble rezoning a few months back.",decision
"Your name and room number, please?",question
The Committee approved filing this bill at its meeting on 8-20-14.,decision
"With the if the ability to put the offsite parking garage is is granted through this rezoning, how many structures that otherwise might have to come down to satisfy parking requirements?",question
I think that that's really.,discussion
"But that's a testament to the concessionaire that we selected because we have to realize they did not have to do that, but they realize how important that is.",decision
"But those are the sort of things that when you're going into an area of stability and you're going outside of the boundary defined in a stationary plan, we should ask.",action_item
I too will be at the board meeting.,discussion
The Committee approved filing this bill at its meeting on 11-8-16.,decision
One school I've read about has meatless Mondays.,discussion
"And they were the emphasis, I think, of this item.",discussion
Are you familiar with their logo?,question
"So I feel very comfortable, as do the members of my committee, the selection committee that we selected.",decision
When they were in the rezoning of the whole area of why he decided to stay with the board instead of convert it to the zoning.,decision
How long have you been on the bus?,question
"By making it rare, right?",question
"Where are you going, Jane?",question
Could you stop the clock?,question
The Committee approved filing this item at its meeting on 2-5-20.,decision
Does anyone in the audience wish to make any comments on this matter?,question
"If you recall in the budget that the Council passed in October, there was direction to start an effort to improve our gateway signage.",decision
"Good evening, honorable mayor and members of Council.",discussion
"After numerous attempts to follow up over the last year, I have not received another reply.",action_item
Please read agenda item number 20 into the record.,action_item
"Vice Mayor It's what, what do we call it?",question
"And what I was asking you, what do you think it means?",question
Please count on the County of Los Angeles as a resource.,action_item
We're now we're going to have two exits on the ocean.,discussion
The Committee approved filing this item at its meeting on 4-23-19.,decision
"At the last minute, she turned it down.",discussion
"If there are any members of the public that would like to speak on item 31 in person, please, can I put the podium in zoom?",question
Please call the roll on Constable 118844.,action_item
So this item is kind of a follow up item from a vote that was done before I was on council in April 2016.,action_item
Please vote i i those opposed vote no.,action_item
To cancel central staff for that description of the bill and for the follow up answers to some of the questions.,action_item
"Report from Economic Development Recommendation to award two contracts for as needed real property acquisition, relocation and related services in an aggregate amount not to exceed 2 million citywide.",discussion
This is the entire incentive.,discussion
Please call the rule on the passage of the Bill Herbold II.,action_item
Would the office the drivers to the office building have had a different kind of access and egress issues to light still than a retail customer?,question
We voted on a document called the City Design Manual calling North Park Street District.,decision
Please read items three and four together.,action_item
"We we may find things along the way that we want to tweak as a city council, right?",question
Report from Councilwoman Mango recommendation to increase appropriations in the Capital Projects Fund by 2500 and add the General Fund by 7500.,discussion
Please remember de sac or center.,action_item
Please read agenda item number seven.,action_item
Please let counsel of Bake of Counsel of Clarity.,action_item
"Sure, you're going to I mean, probably what you're going to see first are the revenues, right?",question
"And the city also had the opportunity to choose a vendor and negotiate different terms as well, and they chose to let all vendor stay in the process as long as possible.",decision
And how was the hotel?,question
"Can a metropolitan you know, I looked at the parks and rec and the roads and the things that were listed there.",discussion
"We will create good living wage, green jobs.",action_item
They are citizens of this country and the only concern they should have should be for their education.,discussion
"Please close the voting, announce the results.",action_item
"Thank you, shall I open it now?",question
Like what is the trigger for putting this on the ballot?,question
It made seven presentations to seven different brokerage houses and 257 mailers to regional tenants in 175 follow up calls.,action_item
"Good evening, Major Cashier Vice Mayor Reg Richardson and all members of city councils.",discussion
Could we include language and option three that clarifies the relocation benefit disbursement information?,question
Where is the Colorado Convention Center?,question
How can we use this these these developments to help come back and benefit the community?,question
Please kind of elaborate on what you all do with the community.,action_item
"Because like a lot of viruses, this isn't a one step and you're done.",discussion
"But in terms of strategic security protocols and things of that nature, who do they report to now?",question
Please do your part to allow this new industry to reach.,action_item
"And just on that, Mr.",discussion
Would you like to rest it to see if there are any other comments and then come back?,question
But are the city that peg funds would be matching?,question
Are there any members of the public comment that would like to speak in opposition to this particular resolution or to initiative measure 1491?,question
"It's not only applying for them in the words that they want, but it's following through with with the work to say, here we did the work.",discussion
Is there a second council already?,question
And what kind of room would you like ma'am?,question
"And if we can't vet it and we can't vet it, I mean, if we can't do whatever, then we can't.",discussion
Here's to the ones who decided to change the course of things.,decision
I need to use the ATM.,discussion
The people of Alameda voted to approve.,decision
"I mentioned at the end of the presentation, I will provide you that website.",action_item
I'm okay with the edit that you proposed.,discussion
"Councilman Herndon, will you put the resolutions for adoption and bills and final consideration for final passage on the floor?",question
So who is responsible for the ongoing dredging?,question
"There's economic inclusion resources, the Clean Language Initiative, and so many others that are involved.",discussion
So we passed the motion.,decision
Vice Mayor of Council and staff.,discussion
"Can you just clarify really quickly, though, that you will accept vouchers for those 60 and 80% of AMA units?",question
Please protect our children and remove the iconic structure.,action_item
Please come forward to the mike.,action_item
Please vote for the historic district.,action_item
Please say yes to our area.,action_item
The Committee approved filing this bill at its meeting on 5-20-17.,decision
Please reject this zoning change before you tonight and honor the tradition of George Cranmer and predict to Sloan's Lake Park from irreparable harm.,action_item
But what is the plan for us to increase the number of detox beds we have?,question
"The key issue, I think, to the culture of looking at is, is the initial receiver filed a motion.",discussion
"The City Council chose a recommendation C, which was a combination of both of them.",decision
Beneficial to get more information as to what is coming to the seven.,discussion
"However, the events are not occasional.",discussion
So I'm here to present on a council action item to for Tex Amendment number four to revise the general development plan processes and standards.,action_item
"However, if someone doesn't feel safe or they're not able to adequately care for an animal or they just simply don't want to, they absolutely can bring an animal to the shelter.",discussion
"And then the association has agreed to work with the city to accommodate the 2028 Olympic Games, as I mentioned, beginning.",decision
Our recent revitalization strategy cited affordable housing as a necessary component to attract and maintain the population that is eager to live within our urban neighborhood.,discussion
"So can you tell us a little bit about your experience, what you've learned, and maybe what some of your interests are going forward?",question
But you rarely hear that annoying little buzz of a scooter.,discussion
"Lou, you've done a lovely job with the Circle K Station and it's just what we hoped it would be when we approved it.",decision
But a group that we selected as BGH has a.,decision
"So what I'm going to do is spend six slides, try to explain to you why city staff and the planning board thought this was a cool design.",discussion
This is an amount is in addition to a 1.7 million grant that the council approved and accepted to expand in September of 2021.,decision
"But that comprehensive sane plan approved by planning board, amended by planning board adopted by planning board is then administered by the zoning administrator.",decision
The Committee approved filing this bill at its meeting on 11-29-16.,decision
"And if so, then could the farmer's market have the opportunity to determine whether or not they have a customer base for T readers?",question
Please call the roll on the passage of council.,action_item
Please use the raise hand feature by pressing start nine now.,action_item
We need to call a handyman before we start to fry in here!,action_item
"Please, Ed, Councilor Kenzie, buck to Docket zero one excuse me.",action_item
Follow up and search warrants.,action_item
This is my understanding we don't have a date within the next 12 days that we agreed on anyway.,decision
"Councilwoman Fox, Councilman Lyman, did you need to weigh in on this one?",question
Planning Board voted unanimously to move this case forward at their meeting on June 3rd.,decision
The Committee approved filing this item at its meeting on 7-20-21.,decision
"30,000 get served by our aquarium on wheels.",discussion
And and we should ask for it.,action_item
It and if any further questions everyone ready to vote?,question
"We discuss the details of the memorandum of understanding, as you said, that the RAC has decided to reform and enlarges membership.",decision
What was that question about?,question
Could you wait so we get a second for the motion because then we can have a discussion second.,action_item
And a lot of us were there 17 years ago.,discussion
The Committee approved filing this item at its meeting on 5-10-22.,decision
The Committee approved filing this item at its meeting on 11-4-20.,decision
My biggest concern is what are we going to do about the vegetation and how are we going to make sure that we have thriving plants in that area?,question
"The next goal is really focused on providing employment, training and opportunities.",discussion
And does this add any net impact net beds or is it maintaining the current?,question
"Right now, the city is installing security cameras along Beach Boulevard because of the activity taking place at the motels.",discussion
We see there's about 6800 properties.,discussion
Will the clerk please affect my signature to the legislation?,question
So we're just making the technical corrections based on the package that was approved by the committee.,discussion
The Committee approved filing this bill by consent on 12-31-14.,decision
The Council Adoption Red Line Draft was posted March 9th and Luti voted to move this bill forward on March 14th.,decision
The Committee approved filing this bill at its meeting on 11-1-16.,decision
"And I remember Charlie Brown saying, Are you crazy?",question
"What languages does he speak, then?",question
The city is really talking to the right people.,discussion
"I mean, I don't know if you know math that well, but who could afford that apartment with 700 bucks a month?",question
All of us agreed to that.,decision
Next step is Councilmember Andrews.,action_item
"As Peter said, when we decided to close the.",decision
The Committee approved filing this item at its meeting on 3-1-22.,decision
Adding $1 million to the line on the tax or.,discussion
Did you want to talk to me?,question
If Council passed this bill tonight.,decision
So the Equity Toolkit has been in place since about 2019.,discussion
"In 2009, City Council approved the formation of the 14th Street Guide and the creation of the District Advisory Board.",decision
We knew this moratorium would not last forever.,discussion
"It's out of your hands at this, correct?",question
So I will ask that the clerk call the roll on the passage of the amended bill.,action_item
Please read it and add a number ten.,action_item
"We will provide resources for the city's multicultural, multi-generational and multilingual LGBTQ plus community.",action_item
"Eric So, Mayor, we have.",discussion
What about the second hand smoke of smelling the marijuana and and having to go to another bus stop or or go to another train station because it's there in your face?,question
So ensuring that OPD has dollars to support workforce development opportunities and that our census outreach engagement position is retained so that we're able to follow up with community insurance.,action_item
What's important to note is that these bluffs in the areas we chose are unique in that they are not a gradual slope.,decision
The Committee approved filing this item at its meeting on 9-15-21.,decision
"At the same time, you need to create more resident retention policies that will protect good renters for me from being displaced and our homeless population.",action_item
Do we have a timeline on how long they have?,question
This motion pertains strictly to write speed.,discussion
"But before we do, Councilmember Odie has asked to to make a comment.",discussion
The Committee approved filing this item at its meeting on 1-15-19.,decision
Please show love and compassion to our immigrant brothers and sisters.,action_item
We adopted this policy earlier this year and then extended it with ordinance 126182 to provide this financial relief from both Seattle City Light and Seattle Public Utilities.,decision
"You know, one of the things that we heard from folks around the move to district elections and district representation is how is budget going to work?",question
They passed on the pass and the petition to pass the position on to our office and shared messages from students in our school in support.,decision
"And a lot of folks believe they, you know, have it down to a science.",discussion
"Thank you so much for your report, Tina.",discussion
I am standing here in support and strong support of the Citywide Nuisance Motel ordinance.,discussion
"And yeah, everyone has spoken.",discussion
So a couple of follow up questions.,action_item
Please read agenda through the short title.,action_item
The Committee approved filing this item at its meeting on 2-9-22.,decision
I stand before you in support of my colleagues to oppose this ban?,question
